timestamp,load_house_01_kw,load_house_02_kw,load_house_03_kw,gen_pv_01_kw,gen_pv_02_kw
2026-01-01 08:30,1.2,0.9,0.7,3.5,1.8
2026-01-01 08:45,1.1,0.9,0.6,3.9,2.0
2026-01-01 09:00,1.1,0.8,0.6,4.3,2.2
2026-01-01 09:15,1.0,0.8,0.6,4.7,2.4
2026-01-01 09:30,1.0,0.8,0.6,5.0,2.5
2026-01-01 09:45,1.0,0.8,0.6,5.3,2.7
2026-01-01 10:00,1.0,0.8,0.6,5.6,2.8
2026-01-01 10:15,1.0,0.8,0.6,5.8,2.9
2026-01-01 10:30,1.0,0.8,0.6,6.0,3.0
2026-01-01 10:45,1.0,0.8,0.6,6.2,3.1
2026-01-01 11:00,1.1,0.8,0.6,6.3,3.2
2026-01-01 11:15,1.1,0.8,0.6,6.4,3.2
2026-01-01 11:30,1.2,0.9,0.7,6.5,3.3
2026-01-01 11:45,1.3,0.9,0.7,6.5,3.3
2026-01-01 12:00,1.4,1.0,0.8,6.5,3.3
2026-01-01 12:15,1.4,1.0,0.8,6.4,3.2
2026-01-01 12:30,1.4,1.0,0.8,6.3,3.2
2026-01-01 12:45,1.4,1.0,0.8,6.2,3.1
2026-01-01 13:00,1.4,1.0,0.8,6.0,3.0
2026-01-01 13:15,1.4,1.0,0.8,5.8,2.9
2026-01-01 13:30,1.4,1.0,0.8,5.6,2.8
2026-01-01 13:45,1.4,1.0,0.8,5.3,2.7
2026-01-01 14:00,1.4,1.0,0.8,5.0,2.5
2026-01-01 14:15,1.4,1.0,0.8,4.7,2.4
2026-01-01 14:30,1.5,1.1,0.8,4.3,2.2
2026-01-01 14:45,1.5,1.1,0.8,3.9,2.0
2026-01-01 15:00,1.6,1.1,0.9,3.5,1.8
2026-01-01 15:15,1.7,1.2,0.9,3.1,1.5
2026-01-01 15:30,1.8,1.2,1.0,2.7,1.3
2026-01-01 15:45,1.9,1.3,1.0,2.2,1.1
2026-01-01 16:00,2.0,1.4,1.1,1.8,0.9
2026-01-01 16:15,2.2,1.5,1.1,1.4,0.7
2026-01-01 16:30,2.4,1.6,1.2,1.0,0.5
2026-01-01 16:45,2.6,1.8,1.3,0.7,0.3
2026-01-01 17:00,3.0,2.0,1.5,0.4,0.2
2026-01-01 17:15,3.5,2.3,1.7,0.2,0.1
2026-01-01 17:30,4.0,2.6,2.0,0.0,0.0
2026-01-01 17:45,4.5,2.9,2.2,0.0,0.0
2026-01-01 18:00,5.0,3.2,2.4,0.0,0.0
2026-01-01 18:15,5.5,3.5,2.6,0.0,0.0
2026-01-01 18:30,5.8,3.8,2.8,0.0,0.0
2026-01-01 18:45,6.0,4.0,3.0,0.0,0.0
2026-01-01 19:00,5.8,3.8,2.8,0.0,0.0
2026-01-01 19:15,5.6,3.6,2.7,0.0,0.0
2026-01-01 19:30,5.4,3.5,2.6,0.0,0.0
2026-01-01 19:45,5.2,3.4,2.5,0.0,0.0
2026-01-01 20:00,5.0,3.2,2.4,0.0,0.0
2026-01-01 20:15,4.6,3.0,2.2,0.0,0.0
2026-01-01 20:30,4.2,2.8,2.0,0.0,0.0
2026-01-01 20:45,3.8,2.5,1.8,0.0,0.0
2026-01-01 21:00,3.4,2.2,1.6,0.0,0.0
2026-01-01 21:15,3.0,2.0,1.5,0.0,0.0
2026-01-01 21:30,2.6,1.8,1.3,0.0,0.0
2026-01-01 21:45,2.2,1.5,1.1,0.0,0.0
2026-01-01 22:00,1.8,1.2,0.9,0.0,0.0
2026-01-01 22:15,1.5,1.0,0.8,0.0,0.0
2026-01-01 22:30,1.2,0.8,0.6,0.0,0.0
2026-01-01 22:45,1.0,0.7,0.5,0.0,0.0
2026-01-01 23:00,0.9,0.6,0.5,0.0,0.0
2026-01-01 23:15,0.8,0.6,0.4,0.0,0.0
2026-01-01 23:30,0.8,0.5,0.4,0.0,0.0
2026-01-01 23:45,0.7,0.5,0.4,0.0,0.0
